week_start,leads_total,qualified_leads,booked_tours,tours_completed,applications,deposits,enrollments,ad_spend_usd,cpl_usd,speed_to_lead_min
2026-05-04,0,0,0,0,0,0,0,0,0,0
2026-05-11,0,0,0,0,0,0,0,0,0,0
2026-05-18,0,0,0,0,0,0,0,0,0,0
2026-05-25,0,0,0,0,0,0,0,0,0,0
2026-06-01,0,0,0,0,0,0,0,0,0,0
2026-06-08,0,0,0,0,0,0,0,0,0,0
2026-06-15,0,0,0,0,0,0,0,0,0,0
2026-06-22,0,0,0,0,0,0,0,0,0,0
2026-06-29,0,0,0,0,0,0,0,0,0,0
2026-07-06,0,0,0,0,0,0,0,0,0,0
2026-07-13,0,0,0,0,0,0,0,0,0,0
2026-07-20,0,0,0,0,0,0,0,0,0,0
2026-07-27,0,0,0,0,0,0,0,0,0,0
2026-08-03,0,0,0,0,0,0,0,0,0,0
2026-08-10,0,0,0,0,0,0,0,0,0,0
2026-08-17,0,0,0,0,0,0,0,0,0,0
2026-08-24,0,0,0,0,0,0,0,0,0,0
