Year,Month,Month_Name,Quarter,Period,Is_School_Year
1,1,January,Q1,Y1M01,True
1,2,February,Q1,Y1M02,True
1,3,March,Q1,Y1M03,True
1,4,April,Q2,Y1M04,True
1,5,May,Q2,Y1M05,True
1,6,June,Q2,Y1M06,True
1,7,July,Q3,Y1M07,False
1,8,August,Q3,Y1M08,False
1,9,September,Q3,Y1M09,True
1,10,October,Q4,Y1M10,True
1,11,November,Q4,Y1M11,True
1,12,December,Q4,Y1M12,True
2,1,January,Q1,Y2M01,True
2,2,February,Q1,Y2M02,True
2,3,March,Q1,Y2M03,True
2,4,April,Q2,Y2M04,True
2,5,May,Q2,Y2M05,True
2,6,June,Q2,Y2M06,True
2,7,July,Q3,Y2M07,False
2,8,August,Q3,Y2M08,False
2,9,September,Q3,Y2M09,True
2,10,October,Q4,Y2M10,True
2,11,November,Q4,Y2M11,True
2,12,December,Q4,Y2M12,True
3,1,January,Q1,Y3M01,True
3,2,February,Q1,Y3M02,True
3,3,March,Q1,Y3M03,True
3,4,April,Q2,Y3M04,True
3,5,May,Q2,Y3M05,True
3,6,June,Q2,Y3M06,True
3,7,July,Q3,Y3M07,False
3,8,August,Q3,Y3M08,False
3,9,September,Q3,Y3M09,True
3,10,October,Q4,Y3M10,True
3,11,November,Q4,Y3M11,True
3,12,December,Q4,Y3M12,True
4,1,January,Q1,Y4M01,True
4,2,February,Q1,Y4M02,True
4,3,March,Q1,Y4M03,True
4,4,April,Q2,Y4M04,True
4,5,May,Q2,Y4M05,True
4,6,June,Q2,Y4M06,True
4,7,July,Q3,Y4M07,False
4,8,August,Q3,Y4M08,False
4,9,September,Q3,Y4M09,True
4,10,October,Q4,Y4M10,True
4,11,November,Q4,Y4M11,True
4,12,December,Q4,Y4M12,True
5,1,January,Q1,Y5M01,True
5,2,February,Q1,Y5M02,True
5,3,March,Q1,Y5M03,True
5,4,April,Q2,Y5M04,True
5,5,May,Q2,Y5M05,True
5,6,June,Q2,Y5M06,True
5,7,July,Q3,Y5M07,False
5,8,August,Q3,Y5M08,False
5,9,September,Q3,Y5M09,True
5,10,October,Q4,Y5M10,True
5,11,November,Q4,Y5M11,True
5,12,December,Q4,Y5M12,True
