Scenario,Year,Students,Category,Amount
Optimistic,1,198,Teachers Salary,205200.0
Optimistic,1,198,Admin Salary,228000.0
Optimistic,1,198,Salary Taxes,21660.0
Optimistic,1,198,Building Maintenance,79800.0
Optimistic,1,198,Operating Expenses,25650.0
Optimistic,1,198,Marketing,51300.0
Optimistic,1,198,Jsm Fee,86130.0
Optimistic,2,330,Teachers Salary,285000.0
Optimistic,2,330,Admin Salary,273600.0
Optimistic,2,330,Salary Taxes,27930.0
Optimistic,2,330,Building Maintenance,79800.0
Optimistic,2,330,Operating Expenses,42750.0
Optimistic,2,330,Marketing,89300.0
Optimistic,2,330,Jsm Fee,147510.0
Optimistic,3,484,Teachers Salary,395999.9
Optimistic,3,484,Admin Salary,364800.0
Optimistic,3,484,Salary Taxes,38039.99
Optimistic,3,484,Building Maintenance,79800.0
Optimistic,3,484,Operating Expenses,62700.0
Optimistic,3,484,Marketing,108300.0
Optimistic,3,484,Jsm Fee,222330.24
Optimistic,4,572,Teachers Salary,468000.4
Optimistic,4,572,Admin Salary,456000.0
Optimistic,4,572,Salary Taxes,46200.02
Optimistic,4,572,Building Maintenance,79800.0
Optimistic,4,572,Operating Expenses,74100.0
Optimistic,4,572,Marketing,108300.0
Optimistic,4,572,Jsm Fee,270035.94
Optimistic,5,600,Teachers Salary,482040.45
Optimistic,5,600,Admin Salary,469680.0
Optimistic,5,600,Salary Taxes,47586.02
Optimistic,5,600,Building Maintenance,79800.0
Optimistic,5,600,Operating Expenses,68400.0
Optimistic,5,600,Marketing,108300.0
Optimistic,5,600,Jsm Fee,291122.11
Optimistic,6,600,Teachers Salary,496501.35
Optimistic,6,600,Admin Salary,483770.4
Optimistic,6,600,Salary Taxes,49013.59
Optimistic,6,600,Building Maintenance,91200.0
Optimistic,6,600,Operating Expenses,68400.0
Optimistic,6,600,Marketing,108300.0
Optimistic,6,600,Jsm Fee,0.0
Optimistic,7,600,Teachers Salary,511396.4
Optimistic,7,600,Admin Salary,498283.55
Optimistic,7,600,Salary Taxes,50484.0
Optimistic,7,600,Building Maintenance,91200.0
Optimistic,7,600,Operating Expenses,68400.0
Optimistic,7,600,Marketing,108300.0
Optimistic,7,600,Jsm Fee,0.0
Optimistic,8,600,Teachers Salary,526737.95
Optimistic,8,600,Admin Salary,513231.8
Optimistic,8,600,Salary Taxes,51998.49
Optimistic,8,600,Building Maintenance,91200.0
Optimistic,8,600,Operating Expenses,68400.0
Optimistic,8,600,Marketing,108300.0
Optimistic,8,600,Jsm Fee,0.0
Optimistic,9,600,Teachers Salary,542540.25
Optimistic,9,600,Admin Salary,528629.4
Optimistic,9,600,Salary Taxes,53558.48
Optimistic,9,600,Building Maintenance,91200.0
Optimistic,9,600,Operating Expenses,68400.0
Optimistic,9,600,Marketing,108300.0
Optimistic,9,600,Jsm Fee,0.0
Optimistic,10,600,Teachers Salary,558816.6
Optimistic,10,600,Admin Salary,544487.75
Optimistic,10,600,Salary Taxes,55165.22
Optimistic,10,600,Building Maintenance,91200.0
Optimistic,10,600,Operating Expenses,68400.0
Optimistic,10,600,Marketing,108300.0
Optimistic,10,600,Jsm Fee,0.0
Base,1,180,Teachers Salary,216000.0
Base,1,180,Admin Salary,240000.0
Base,1,180,Salary Taxes,22800.0
Base,1,180,Building Maintenance,84000.0
Base,1,180,Operating Expenses,27000.0
Base,1,180,Marketing,54000.0
Base,1,180,Jsm Fee,78300.0
Base,2,300,Teachers Salary,300000.0
Base,2,300,Admin Salary,288000.0
Base,2,300,Salary Taxes,29400.0
Base,2,300,Building Maintenance,84000.0
Base,2,300,Operating Expenses,45000.0
Base,2,300,Marketing,94000.0
Base,2,300,Jsm Fee,134100.0
Base,3,440,Teachers Salary,416842.0
Base,3,440,Admin Salary,384000.0
Base,3,440,Salary Taxes,40042.1
Base,3,440,Building Maintenance,84000.0
Base,3,440,Operating Expenses,66000.0
Base,3,440,Marketing,114000.0
Base,3,440,Jsm Fee,202118.4
Base,4,520,Teachers Salary,492632.0
Base,4,520,Admin Salary,480000.0
Base,4,520,Salary Taxes,48631.6
Base,4,520,Building Maintenance,84000.0
Base,4,520,Operating Expenses,78000.0
Base,4,520,Marketing,114000.0
Base,4,520,Jsm Fee,245487.22
Base,5,600,Teachers Salary,507411.0
Base,5,600,Admin Salary,494400.0
Base,5,600,Salary Taxes,50090.55
Base,5,600,Building Maintenance,84000.0
Base,5,600,Operating Expenses,72000.0
Base,5,600,Marketing,114000.0
Base,5,600,Jsm Fee,291122.11
Base,6,600,Teachers Salary,522633.0
Base,6,600,Admin Salary,509232.0
Base,6,600,Salary Taxes,51593.25
Base,6,600,Building Maintenance,96000.0
Base,6,600,Operating Expenses,72000.0
Base,6,600,Marketing,114000.0
Base,6,600,Jsm Fee,0.0
Base,7,600,Teachers Salary,538312.0
Base,7,600,Admin Salary,524509.0
Base,7,600,Salary Taxes,53141.05
Base,7,600,Building Maintenance,96000.0
Base,7,600,Operating Expenses,72000.0
Base,7,600,Marketing,114000.0
Base,7,600,Jsm Fee,0.0
Base,8,600,Teachers Salary,554461.0
Base,8,600,Admin Salary,540244.0
Base,8,600,Salary Taxes,54735.25
Base,8,600,Building Maintenance,96000.0
Base,8,600,Operating Expenses,72000.0
Base,8,600,Marketing,114000.0
Base,8,600,Jsm Fee,0.0
Base,9,600,Teachers Salary,571095.0
Base,9,600,Admin Salary,556452.0
Base,9,600,Salary Taxes,56377.35
Base,9,600,Building Maintenance,96000.0
Base,9,600,Operating Expenses,72000.0
Base,9,600,Marketing,114000.0
Base,9,600,Jsm Fee,0.0
Base,10,600,Teachers Salary,588228.0
Base,10,600,Admin Salary,573145.0
Base,10,600,Salary Taxes,58068.65
Base,10,600,Building Maintenance,96000.0
Base,10,600,Operating Expenses,72000.0
Base,10,600,Marketing,114000.0
Base,10,600,Jsm Fee,0.0
Pessimistic,1,144,Teachers Salary,237600.0
Pessimistic,1,144,Admin Salary,264000.0
Pessimistic,1,144,Salary Taxes,25080.0
Pessimistic,1,144,Building Maintenance,92400.0
Pessimistic,1,144,Operating Expenses,29700.0
Pessimistic,1,144,Marketing,59400.0
Pessimistic,1,144,Jsm Fee,62640.0
Pessimistic,2,240,Teachers Salary,330000.0
Pessimistic,2,240,Admin Salary,316800.0
Pessimistic,2,240,Salary Taxes,32340.0
Pessimistic,2,240,Building Maintenance,92400.0
Pessimistic,2,240,Operating Expenses,49500.0
Pessimistic,2,240,Marketing,103400.0
Pessimistic,2,240,Jsm Fee,107280.0
Pessimistic,3,352,Teachers Salary,458526.2
Pessimistic,3,352,Admin Salary,422400.0
Pessimistic,3,352,Salary Taxes,44046.31
Pessimistic,3,352,Building Maintenance,92400.0
Pessimistic,3,352,Operating Expenses,72600.0
Pessimistic,3,352,Marketing,125400.0
Pessimistic,3,352,Jsm Fee,161694.72
Pessimistic,4,416,Teachers Salary,541895.2
Pessimistic,4,416,Admin Salary,528000.0
Pessimistic,4,416,Salary Taxes,53494.76
Pessimistic,4,416,Building Maintenance,92400.0
Pessimistic,4,416,Operating Expenses,85800.0
Pessimistic,4,416,Marketing,125400.0
Pessimistic,4,416,Jsm Fee,196389.77
Pessimistic,5,480,Teachers Salary,558152.1
Pessimistic,5,480,Admin Salary,543840.0
Pessimistic,5,480,Salary Taxes,55099.61
Pessimistic,5,480,Building Maintenance,92400.0
Pessimistic,5,480,Operating Expenses,79200.0
Pessimistic,5,480,Marketing,125400.0
Pessimistic,5,480,Jsm Fee,232897.69
Pessimistic,6,480,Teachers Salary,574896.3
Pessimistic,6,480,Admin Salary,560155.2
Pessimistic,6,480,Salary Taxes,56752.58
Pessimistic,6,480,Building Maintenance,105600.0
Pessimistic,6,480,Operating Expenses,79200.0
Pessimistic,6,480,Marketing,125400.0
Pessimistic,6,480,Jsm Fee,0.0
Pessimistic,7,480,Teachers Salary,592143.2
Pessimistic,7,480,Admin Salary,576959.9
Pessimistic,7,480,Salary Taxes,58455.16
Pessimistic,7,480,Building Maintenance,105600.0
Pessimistic,7,480,Operating Expenses,79200.0
Pessimistic,7,480,Marketing,125400.0
Pessimistic,7,480,Jsm Fee,0.0
Pessimistic,8,480,Teachers Salary,609907.1
Pessimistic,8,480,Admin Salary,594268.4
Pessimistic,8,480,Salary Taxes,60208.78
Pessimistic,8,480,Building Maintenance,105600.0
Pessimistic,8,480,Operating Expenses,79200.0
Pessimistic,8,480,Marketing,125400.0
Pessimistic,8,480,Jsm Fee,0.0
Pessimistic,9,480,Teachers Salary,628204.5
Pessimistic,9,480,Admin Salary,612097.2
Pessimistic,9,480,Salary Taxes,62015.09
Pessimistic,9,480,Building Maintenance,105600.0
Pessimistic,9,480,Operating Expenses,79200.0
Pessimistic,9,480,Marketing,125400.0
Pessimistic,9,480,Jsm Fee,0.0
Pessimistic,10,480,Teachers Salary,647050.8
Pessimistic,10,480,Admin Salary,630459.5
Pessimistic,10,480,Salary Taxes,63875.52
Pessimistic,10,480,Building Maintenance,105600.0
Pessimistic,10,480,Operating Expenses,79200.0
Pessimistic,10,480,Marketing,125400.0
Pessimistic,10,480,Jsm Fee,0.0
