Scenario,Year,Students,Utilization,New_Students_Needed,YoY_Growth,Max_Capacity
Optimistic,1,198,0.33,198,0,600
Optimistic,2,330,0.55,148,132,600
Optimistic,3,484,0.8067,181,154,600
Optimistic,4,572,0.9533,127,88,600
Optimistic,5,600,1.0,74,28,600
Optimistic,6,600,1.0,48,0,600
Optimistic,7,600,1.0,48,0,600
Optimistic,8,600,1.0,48,0,600
Optimistic,9,600,1.0,48,0,600
Optimistic,10,600,1.0,48,0,600
Base,1,180,0.3,180,0,600
Base,2,300,0.5,135,120,600
Base,3,440,0.7333,164,140,600
Base,4,520,0.8667,116,80,600
Base,5,600,1.0,122,80,600
Base,6,600,1.0,48,0,600
Base,7,600,1.0,48,0,600
Base,8,600,1.0,48,0,600
Base,9,600,1.0,48,0,600
Base,10,600,1.0,48,0,600
Pessimistic,1,144,0.24,144,0,600
Pessimistic,2,240,0.4,108,96,600
Pessimistic,3,352,0.5867,132,112,600
Pessimistic,4,416,0.6933,93,64,600
Pessimistic,5,480,0.8,98,64,600
Pessimistic,6,480,0.8,39,0,600
Pessimistic,7,480,0.8,39,0,600
Pessimistic,8,480,0.8,39,0,600
Pessimistic,9,480,0.8,39,0,600
Pessimistic,10,480,0.8,39,0,600
