Scenario,Month,Students,Revenue,Expenses,Profit,Teacher_Cost,Admin_Cost,Building,Marketing,Operating,Taxes,JSM_Fee
Optimistic,1,0,0.0,23594.75,-23594.75,5130.0,19000.0,6650.0,0.0,2137.5,541.5,0.0
Optimistic,2,0,0.0,33466.25,-33466.25,5130.0,19000.0,6650.0,0.0,2137.5,541.5,0.0
Optimistic,3,138,50025.0,43188.18,6836.82,11918.18,19000.0,6650.0,2979.55,2137.5,1258.03,5002.5
Optimistic,4,158,57275.0,48173.79,9101.21,13645.45,19000.0,6650.0,3411.36,2137.5,1440.35,5727.5
Optimistic,5,178,64525.0,53159.39,11365.61,15372.73,19000.0,6650.0,3843.18,2137.5,1622.68,6452.5
Optimistic,6,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,7,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,8,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,9,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,10,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,11,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Optimistic,12,198,71775.0,58145.0,13630.0,17100.0,19000.0,6650.0,4275.0,2137.5,1805.0,7177.5
Base,1,0,0.0,24527.5,-24527.5,5400.0,20000.0,7000.0,0.0,2250.0,570.0,0.0
Base,2,0,0.0,34712.5,-34712.5,5400.0,20000.0,7000.0,0.0,2250.0,570.0,0.0
Base,3,125,45312.5,44614.58,697.92,12500.0,20000.0,7000.0,3125.0,2250.0,1319.44,4531.25
Base,4,144,52200.0,49990.0,2210.0,14400.0,20000.0,7000.0,3600.0,2250.0,1520.0,5220.0
Base,5,161,58362.5,54799.58,3562.92,16100.0,20000.0,7000.0,4025.0,2250.0,1699.44,5836.25
Base,6,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,7,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,8,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,9,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,10,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,11,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Base,12,180,65250.0,60175.0,5075.0,18000.0,20000.0,7000.0,4500.0,2250.0,1900.0,6525.0
Pessimistic,1,0,0.0,26393.0,-26393.0,5940.0,22000.0,7700.0,0.0,2475.0,627.0,0.0
Pessimistic,2,0,0.0,37205.0,-37205.0,5940.0,22000.0,7700.0,0.0,2475.0,627.0,0.0
Pessimistic,3,100,36250.0,47716.67,-11466.67,13750.0,22000.0,7700.0,3437.5,2475.0,1451.39,3625.0
Pessimistic,4,115,41687.5,53347.92,-11660.42,15812.5,22000.0,7700.0,3953.13,2475.0,1669.1,4168.75
Pessimistic,5,129,46762.5,58603.75,-11841.25,17737.5,22000.0,7700.0,4434.38,2475.0,1872.29,4676.25
Pessimistic,6,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,7,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,8,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,9,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,10,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,11,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
Pessimistic,12,144,52200.0,64235.0,-12035.0,19800.0,22000.0,7700.0,4950.0,2475.0,2090.0,5220.0
