Scenario,Year,Students,Revenue,Expenses,Profit,Margin,Cumulative_Profit
Optimistic,1,198,861300.0,697740.0,163560.0,0.1899,163560.0
Optimistic,2,330,1475100.0,945890.0,529210.0,0.3588,692770.0
Optimistic,3,484,2223302.4,1271970.14,951332.26,0.4279,1644102.26
Optimistic,4,572,2700359.38,1502436.36,1197923.02,0.4436,2842025.28
Optimistic,5,600,2911221.14,1546928.59,1364292.56,0.4686,4206317.84
Optimistic,6,600,2992257.78,1297185.34,1695072.44,0.5665,5901390.28
Optimistic,7,600,3075725.51,1328063.95,1747661.56,0.5682,7649051.85
Optimistic,8,600,3161697.28,1359868.24,1801829.04,0.5699,9450880.89
Optimistic,9,600,3250248.2,1392628.13,1857620.06,0.5715,11308500.95
Optimistic,10,600,3341455.64,1426369.57,1915086.07,0.5731,13223587.02
Base,1,180,783000.0,722100.0,60900.0,0.0778,60900.0
Base,2,300,1341000.0,974500.0,366500.0,0.2733,427400.0
Base,3,440,2021184.0,1307002.5,714181.5,0.3533,1141581.5
Base,4,520,2454872.16,1542750.82,912121.34,0.3716,2053702.84
Base,5,600,2911221.14,1613023.66,1298197.48,0.4459,3351900.32
Base,6,600,2992257.78,1365458.25,1626799.53,0.5437,4978699.85
Base,7,600,3075725.51,1397962.05,1677763.46,0.5455,6656463.31
Base,8,600,3161697.28,1431440.25,1730257.03,0.5473,8386720.34
Base,9,600,3250248.2,1465924.35,1784323.85,0.549,10171044.19
Base,10,600,3341455.64,1501441.65,1840013.99,0.5507,12011058.18
Pessimistic,1,144,626400.0,770820.0,-144420.0,-0.2306,-144420.0
Pessimistic,2,240,1072800.0,1031720.0,41080.0,0.0383,-103340.0
Pessimistic,3,352,1616947.2,1377067.23,239879.97,0.1484,136539.97
Pessimistic,4,416,1963897.73,1623379.73,340518.0,0.1734,477057.97
Pessimistic,5,480,2328976.92,1686989.4,641987.52,0.2757,1119045.48
Pessimistic,6,480,2393806.22,1502004.08,891802.15,0.3725,2010847.63
Pessimistic,7,480,2460580.41,1537758.26,922822.15,0.375,2933669.79
Pessimistic,8,480,2529357.82,1574584.28,954773.55,0.3775,3888443.33
Pessimistic,9,480,2600198.56,1612516.78,987681.77,0.3798,4876125.1
Pessimistic,10,480,2673164.51,1651585.82,1021578.7,0.3822,5897703.8
