Variable,Multiplier,Value,NPV,Total_Profit,Breakeven_Year
Tuition Per Year,0.7,2800.0,2598730.17,5204377.98,3
Tuition Per Year,0.77,3100.0,3543161.39,6906048.03,2
Tuition Per Year,0.85,3400.0,4487592.61,8607718.08,2
Tuition Per Year,0.93,3700.0,5432023.83,10309388.13,1
Tuition Per Year,1.0,4000.0,6376455.05,12011058.18,1
Tuition Per Year,1.07,4300.0,7320886.28,13712728.23,1
Tuition Per Year,1.15,4600.0,8265317.5,15414398.27,1
Tuition Per Year,1.23,4900.0,9209748.72,17116068.32,1
Tuition Per Year,1.3,5200.0,10154179.94,18817738.37,1
Enrollment Fee Per Student,0.7,245.0,6089264.31,11503278.18,1
Enrollment Fee Per Student,0.77,271.25,6161062.0,11630223.18,1
Enrollment Fee Per Student,0.85,297.5,6232859.68,11757168.18,1
Enrollment Fee Per Student,0.93,323.75,6304657.37,11884113.18,1
Enrollment Fee Per Student,1.0,350.0,6376455.05,12011058.18,1
Enrollment Fee Per Student,1.07,376.25,6448252.74,12138003.18,1
Enrollment Fee Per Student,1.15,402.5,6520050.42,12264948.18,1
Enrollment Fee Per Student,1.23,428.75,6591848.11,12391893.18,1
Enrollment Fee Per Student,1.3,455.0,6663645.79,12518838.18,1
