Scenario,Year,Students,Teachers,Student_Teacher_Ratio
Optimistic,1,198,8,24.8
Optimistic,2,330,14,23.6
Optimistic,3,484,20,24.2
Optimistic,4,572,23,24.9
Optimistic,5,600,24,25.0
Optimistic,6,600,24,25.0
Optimistic,7,600,24,25.0
Optimistic,8,600,24,25.0
Optimistic,9,600,24,25.0
Optimistic,10,600,24,25.0
Base,1,180,8,22.5
Base,2,300,12,25.0
Base,3,440,18,24.4
Base,4,520,21,24.8
Base,5,600,24,25.0
Base,6,600,24,25.0
Base,7,600,24,25.0
Base,8,600,24,25.0
Base,9,600,24,25.0
Base,10,600,24,25.0
Pessimistic,1,144,6,24.0
Pessimistic,2,240,10,24.0
Pessimistic,3,352,15,23.5
Pessimistic,4,416,17,24.5
Pessimistic,5,480,20,24.0
Pessimistic,6,480,20,24.0
Pessimistic,7,480,20,24.0
Pessimistic,8,480,20,24.0
Pessimistic,9,480,20,24.0
Pessimistic,10,480,20,24.0
